,Unnamed: 0,Entity,Code,Year,Annual_biofuel_consumption,Continent
579,,Cyprus,CYP,2007,0.31,Asia
580,,Cyprus,CYP,2008,0.33,Asia
581,,Cyprus,CYP,2009,0.33,Asia
582,,Cyprus,CYP,2010,0,Asia
583,,Czech Republic,CZE,2000,1,Europe
584,,Czech Republic,CZE,2001,1.4,Europe
585,,Czech Republic,CZE,2002,1.4,Europe
586,,Czech Republic,CZE,2003,0.7,Europe
587,,Czech Republic,CZE,2004,0.1,Europe
588,,Czech Republic,CZE,2005,0.44,Europe
589,,Czech Republic,CZE,2006,0.704,Europe
590,,Czech Republic,CZE,2007,2.8,Europe
591,,Czech Republic,CZE,2008,4.9,Europe
592,,Czech Republic,CZE,2009,5.8,Europe
593,,Czech Republic,CZE,2010,0,Europe
594,,Czechoslovakia,OWID_CZS,2000,0,
595,,Czechoslovakia,OWID_CZS,2001,0,
596,,Czechoslovakia,OWID_CZS,2002,0,
597,,Czechoslovakia,OWID_CZS,2003,0,
598,,Czechoslovakia,OWID_CZS,2004,0,
599,,Czechoslovakia,OWID_CZS,2005,0,
600,,Czechoslovakia,OWID_CZS,2006,0,
601,,Czechoslovakia,OWID_CZS,2007,0,
602,,Czechoslovakia,OWID_CZS,2008,0,
603,,Czechoslovakia,OWID_CZS,2009,0,
604,,Czechoslovakia,OWID_CZS,2010,0,
605,,Democratic Republic of Congo,COD,2000,0,
606,,Democratic Republic of Congo,COD,2001,0,
607,,Democratic Republic of Congo,COD,2002,0,
608,,Democratic Republic of Congo,COD,2003,0,
609,,Democratic Republic of Congo,COD,2004,0,
610,,Democratic Republic of Congo,COD,2005,0,
611,,Democratic Republic of Congo,COD,2006,0,
612,,Democratic Republic of Congo,COD,2007,0,
613,,Democratic Republic of Congo,COD,2008,0,
614,,Democratic Republic of Congo,COD,2009,0,
615,,Democratic Republic of Congo,COD,2010,0,
616,,Denmark,DNK,2000,0,Europe
617,,Denmark,DNK,2001,0,Europe
618,,Denmark,DNK,2002,0,Europe
619,,Denmark,DNK,2003,0,Europe
620,,Denmark,DNK,2004,0,Europe
621,,Denmark,DNK,2005,0.1,Europe
622,,Denmark,DNK,2006,0.2,Europe
623,,Denmark,DNK,2007,0.205,Europe
624,,Denmark,DNK,2008,0.3,Europe
625,,Denmark,DNK,2009,1.1,Europe
626,,Denmark,DNK,2010,0,Europe
627,,Djibouti,DJI,2000,0,Africa
628,,Djibouti,DJI,2001,0,Africa
629,,Djibouti,DJI,2002,0,Africa
630,,Djibouti,DJI,2003,0,Africa
631,,Djibouti,DJI,2004,0,Africa
632,,Djibouti,DJI,2005,0,Africa
633,,Djibouti,DJI,2006,0,Africa
634,,Djibouti,DJI,2007,0,Africa
635,,Djibouti,DJI,2008,0,Africa
636,,Djibouti,DJI,2009,0,Africa
637,,Djibouti,DJI,2010,0,Africa
638,,Dominica,DMA,2000,0,North America
639,,Dominica,DMA,2001,0,North America
